अइया	əɪjaː
हमारी	ɦəmaːɾiː
खिलाकर	kʰɪlaːkəɾ
लक्मे	ləkmeː
बैठकबाज	bɛːʈʰəkəbaːdʒ
कुड़वार	kʊɽəʋaːɾ
कलेक्शन	kəleːkʃən
नूरु	nuːɾʊ
कांबोज	kãboːdʒ
सहारनपुर	səɦaːɾənəpʊɾ
ष्पााणाचित्रों	ʂpaːaːɳaːtʃɪʈɾõ
ब्याह	bjaːɦ
मुगलई	mʊɡələiː
जैसाकंगन	dʒɛːsaːkə̃ɡən
किसने	kɪsəneː
रहेगानहीं	ɾəɦeːɡaːnəɦiː̃
छत्री	tʃʰəʈɾiː
खलील	kʰəliːl
मूर्तिवादियों	muːɾʈɪʋaːdɪjõ
थालियों	tʰaːlɪjõ
भांजी	bʰãdʒiː
अत्याधुनिक	ətːjaːdʰʊnɪk
मरते	məɾəʈeː
संहार	sə̃ɦaːɾ
धमदाहा	dʰəmədaːɦaː
बासे	baːseː
राष्ट्रवाद	ɾaːʂʈɾəʋaːd
साये	saːjeː
पकौडियां	pəkɔːɖɪjã
कसका	kəsəkaː
बिगाड़ता	bɪɡaːɽəʈaː
हालाकि	ɦaːlaːkɪ
मंडोवी	mə̃ɖoːʋiː
अवाम	əʋaːm
रिंग	ɾiː̃ɡ
लोनिवि	loːnɪʋɪ
खोना	kʰoːnaː
दाँती	dãʈiː
रेमिटेंस	ɾeːmɪʈẽːs
रेगुलेटरी	ɾeːɡʊleːʈəɾiː
चनाचुर	tʃənaːtʃʊɾ
बडे़	bəɖeː
रिश्तेदारों	ɾɪʃʈeːdaːɾõ
कांवेंट	kãʋẽːʈ
थूथन	tʰuːtʰən
एनएचएआइ	eːnəeːtʃəeːaːɪ
नानाद	naːnaːd
पढ़िए	pəɽɦɪeː
अपलोडिंग	əpəloːɖiː̃ɡ
बच्ची	bətʃtʃiː
खोलानिस	kʰoːlaːnɪs
हाउती	ɦaːʊʈiː
होजालपा	ɦoːdʒaːləpaː
खींचा	kʰiː̃tʃaː
तिरुपूर	ʈɪɾʊpuːɾ
नियुक्त	nɪjʊkt
ते	ʈeː
शुभेच्छाएं	ʃʊbʰeːtʃːtʃʰaːẽː
बेसुध	beːsʊdʰ
वॉरइस	ʋoːɾəɪs
गोलच्यू	ɡoːlətʃːjuː
फ़ैसले	fɛːsəleː
साथीमत	saːtʰiːmət
बीसा	biːsaː
अफ़रा	əfəɾaː
एलोपेशिया	eːloːpeːʃɪjaː
सांझे	sãdʒʰeː
बतावेगी	bəʈaːʋeːɡiː
मांगते	mãɡəʈeː
हानेडा	ɦaːneːɖaː
नेक्स	neːks
चंद्रिका	tʃə̃dəɾɪkaː
हूति	ɦuːʈɪ
बूँदा	bũdaː
स्लम	sləm
लपकतीं	ləpəkəʈiː̃
अंधेरी	ə̃dʰeːɾiː
माफ़ी	maːfiː
राजेंद्र	ɾaːdʒẽːdər
मनोचिकित्सक	mənoːtʃɪkɪʈsək
टीआरपी	ʈiːaːɾəpiː
मन्त्रालय	mənʈɾaːləɛj
ठनका	ʈʰənəkaː
गाढ़े	ɡaːɽɦeː
स्पॉलइर	spoːləɪɾ
अररिया	əɾəɾɪjaː
क्रोधावेश	kəroːdʰaːʋeːʃ
प्रमदा	pɾəmədaː
छूटके	tʃʰuːʈəkeː
आक्सीजन	aːksiːdʒən
तुमीच	ʈʊmiːtʃ
प्रौद्योगिकी	pɾɔːdjoːɡɪkiː
सकेगा	səkeːɡaː
झकझोर	dʒʰəkədʒʰoːɾ
उनतालीस	ʊnəʈaːliːs
आवांज	aːʋãdʒ
उधेङ	ʊdʰeːŋ
चिंतित	tʃiː̃ʈɪt
कंकाल	kə̃kaːl
थी?	tʰiː
टाईड	ʈaːiːɖ
मिस्तास्सिनी	mɪsʈaːssɪniː
डाल्फिनकहाँ	ɖaːlpʰɪnəkəɦã
गोल्ड	ɡoːlɖ
नकारापेंटागन	nəkaːɾaːpẽːʈaːɡən
शर्मिन्दा	ʃərmɪndaː
हवास	ɦəʋaːs
उपक्रीड़ा	ʊpəkəɾɪːɽaː
जीटीबी	dʒiːʈiːbiː
खैरात	kʰɛːɾaːt
ब्यूटीशियन	bjuːʈiːʃɪjən
ईटिंग	iːʈiː̃ɡ
मोहेंजोदड़ो	moːɦẽːdʒoːdəɽoː
जताई	dʒəʈaːiː
गुवाहाटी	ɡʊʋaːɦaːʈiː
गुवांगजुटो	ɡʊʋãɡədʒʊʈoː
गुसलखाने	ɡʊsələkʰaːneː
गुसांई	ɡʊsãiː
हैरत	ɦɛːɾət
